# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Curated_gene_sets:bred...      59     -0.346    -0.0191       0.13      0.99614 Curated_gene_sets:bredemeyer_rag_signaling_not_via_atm_up
Curated_gene_sets:bred...      56    -0.0552   -0.00297      0.129      0.66518 Curated_gene_sets:bredemeyer_rag_signaling_not_via_atm_dn
Curated_gene_sets:bred...      45       0.24     0.0116      0.161     0.067676 Curated_gene_sets:bredemeyer_rag_signaling_via_atm_not_via_nfkb_up
Curated_gene_sets:bred...      34    -0.0331   -0.00139      0.179      0.57332 Curated_gene_sets:bredemeyer_rag_signaling_via_atm_not_via_nfkb_dn
Curated_gene_sets:conr...      37      0.238     0.0104      0.168     0.077944 Curated_gene_sets:conrad_stem_cell
Curated_gene_sets:conr...       9       0.21    0.00454      0.301      0.24323 Curated_gene_sets:conrad_germline_stem_cell
Curated_gene_sets:thum...      16     -0.252   -0.00726      0.253      0.84073 Curated_gene_sets:thum_mir21_targets_heart_disease_up
Curated_gene_sets:thum...       7       0.43     0.0082      0.451       0.1704 Curated_gene_sets:thum_mir21_targets_heart_disease_dn
Curated_gene_sets:kuus...      31      0.767     0.0308      0.313    0.0070859 Curated_gene_sets:kuuselo_pancreatic_cancer_19q13_amplification
Curated_gene_sets:huan...      75     0.0683    0.00426      0.124      0.29112 Curated_gene_sets:huang_dasatinib_resistance_up
Curated_gene_sets:huan...      68     0.0731    0.00434      0.121      0.27341 Curated_gene_sets:huang_dasatinib_resistance_dn
Curated_gene_sets:matt...      17      0.164    0.00487      0.234      0.24223 Curated_gene_sets:matthews_skin_carcinogenesis_via_jun
Curated_gene_sets:matt...      17     -0.247   -0.00733      0.232      0.85625 Curated_gene_sets:matthews_ap1_targets
Curated_gene_sets:qi_p...     250     0.0498    0.00564     0.0618      0.20986 Curated_gene_sets:qi_plasmacytoma_up
Curated_gene_sets:qi_p...      96      0.152     0.0107      0.099     0.062999 Curated_gene_sets:qi_plasmacytoma_dn
Curated_gene_sets:tayl...      77     0.0356    0.00225      0.112      0.37483 Curated_gene_sets:taylor_methylated_in_acute_lymphoblastic_leukemia
Curated_gene_sets:chng...      52     -0.106   -0.00549      0.122      0.80695 Curated_gene_sets:chng_multiple_myeloma_hyperploid_up
Curated_gene_sets:chng...      28     -0.301    -0.0115       0.18      0.95311 Curated_gene_sets:chng_multiple_myeloma_hyperploid_dn
Curated_gene_sets:hupe...      54     0.0913    0.00483      0.141      0.25826 Curated_gene_sets:huper_breast_basal_vs_luminal_up
Curated_gene_sets:hupe...      51      0.163    0.00839      0.138      0.11769 Curated_gene_sets:huper_breast_basal_vs_luminal_dn
Curated_gene_sets:malo...      38     0.0451      0.002      0.141      0.37455 Curated_gene_sets:maloney_response_to_17aag_up
Curated_gene_sets:malo...      76   -0.00436  -0.000274      0.107      0.51626 Curated_gene_sets:maloney_response_to_17aag_dn
Curated_gene_sets:cui_...      58     0.0364    0.00199      0.126      0.38597 Curated_gene_sets:cui_glucose_deprivation
Curated_gene_sets:blum...     233      0.119      0.013       0.06     0.023835 Curated_gene_sets:blum_response_to_salirasib_up
Curated_gene_sets:blum...     325    -0.0207   -0.00266     0.0534      0.65069 Curated_gene_sets:blum_response_to_salirasib_dn
Curated_gene_sets:wint...     223      0.163     0.0175     0.0653    0.0062507 Curated_gene_sets:winter_hypoxia_metagene
Curated_gene_sets:alon...      36     -0.107   -0.00461      0.161      0.74581 Curated_gene_sets:alonso_metastasis_emt_up
Curated_gene_sets:alon...       5    -0.0327  -0.000527      0.488      0.52666 Curated_gene_sets:alonso_metastasis_emt_dn
Curated_gene_sets:alon...      17     -0.138   -0.00409      0.241      0.71627 Curated_gene_sets:alonso_metastasis_neural_up
Curated_gene_sets:alon...     194     0.0125    0.00125      0.067      0.42619 Curated_gene_sets:alonso_metastasis_up
Curated_gene_sets:alon...      24       -0.2   -0.00705      0.198      0.84381 Curated_gene_sets:alonso_metastasis_dn
Curated_gene_sets:crom...      59     -0.154   -0.00854      0.137      0.87012 Curated_gene_sets:cromer_tumorigenesis_up
Curated_gene_sets:crom...      48    -0.0583   -0.00291      0.144      0.65772 Curated_gene_sets:cromer_tumorigenesis_dn
Curated_gene_sets:kris...      10       0.31    0.00708      0.355      0.19069 Curated_gene_sets:krishnan_furin_targets_up
Curated_gene_sets:kris...      13    -0.0941   -0.00245      0.208      0.67448 Curated_gene_sets:krishnan_furin_targets_dn
Curated_gene_sets:muel...     294      0.053    0.00651     0.0524      0.15568 Curated_gene_sets:mueller_plurinet
Curated_gene_sets:yauc...     138    -0.0711     -0.006     0.0824      0.80592 Curated_gene_sets:yauch_hedgehog_signaling_paracrine_up
Curated_gene_sets:yauc...     256    -0.0837   -0.00959      0.059      0.92185 Curated_gene_sets:yauch_hedgehog_signaling_paracrine_dn
Curated_gene_sets:fire...       6    -0.0906    -0.0016      0.456      0.57865 Curated_gene_sets:firestein_ctnnb1_pathway_and_proliferation
Curated_gene_sets:fire...      27    -0.0407   -0.00153      0.185       0.5873 Curated_gene_sets:firestein_ctnnb1_pathway
Curated_gene_sets:fire...     163      0.143     0.0131     0.0771     0.032069 Curated_gene_sets:firestein_proliferation
Curated_gene_sets:zhou...      11       1.45     0.0347      0.302   7.7747e-07 Curated_gene_sets:zhou_pancreatic_exocrine_progenitor
Curated_gene_sets:zhou...      12      0.332    0.00829      0.332      0.15847 Curated_gene_sets:zhou_pancreatic_endocrine_progenitor
Curated_gene_sets:zhou...      11      0.398    0.00951      0.329      0.11333 Curated_gene_sets:zhou_pancreatic_beta_cell
Curated_gene_sets:ishi...       8      -0.24    -0.0049      0.359      0.74795 Curated_gene_sets:ishikawa_sting_signaling
Curated_gene_sets:wang...     365    -0.0137   -0.00186     0.0492      0.60925 Curated_gene_sets:wang_tumor_invasiveness_up
Curated_gene_sets:wang...     203     0.0863    0.00881     0.0658      0.09489 Curated_gene_sets:wang_tumor_invasiveness_dn
Curated_gene_sets:jian...      43      0.347     0.0164      0.148    0.0096605 Curated_gene_sets:jiang_tip30_targets_up
Curated_gene_sets:jian...      23     -0.264   -0.00913      0.191      0.91705 Curated_gene_sets:jiang_tip30_targets_dn
Curated_gene_sets:gres...     323      0.152     0.0195     0.0533    0.0022002 Curated_gene_sets:greshock_cancer_copy_number_up
Curated_gene_sets:wang...      16    -0.0394   -0.00114      0.255       0.5614 Curated_gene_sets:wang_neoplastic_transformation_by_ccnd1_myc
Curated_gene_sets:tsai...      31     -0.061   -0.00245      0.186      0.62837 Curated_gene_sets:tsai_response_to_radiation_therapy
Curated_gene_sets:sasa...      11     -0.359   -0.00859       0.31      0.87717 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_up
Curated_gene_sets:sasa...       8     0.0199   0.000405      0.286      0.47228 Curated_gene_sets:sasai_targets_of_cxcr6_and_ptch1_dn
Curated_gene_sets:miki...       6     -0.341   -0.00603      0.481      0.76111 Curated_gene_sets:miki_coexpressed_with_cyp19a1
Curated_gene_sets:beie...      35     0.0474    0.00202      0.177      0.39411 Curated_gene_sets:beier_glioma_stem_cell_up
Curated_gene_sets:beie...      54    -0.0511    -0.0027      0.129      0.65405 Curated_gene_sets:beier_glioma_stem_cell_dn
Curated_gene_sets:vart...     158     0.0319    0.00288     0.0831      0.35067 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_up
Curated_gene_sets:vart...     137     0.0991    0.00833     0.0859      0.12423 Curated_gene_sets:vart_kshv_infection_angiogenic_markers_dn
Curated_gene_sets:moot...     408     0.0118     0.0017     0.0467      0.40014 Curated_gene_sets:mootha_human_mitodb_6_2002
Curated_gene_sets:moot...     398   0.000158   2.25e-05     0.0478      0.49868 Curated_gene_sets:mootha_pgc
Curated_gene_sets:moot...      16       0.13    0.00374      0.245      0.29831 Curated_gene_sets:mootha_tca
Curated_gene_sets:lee_...     169    -0.0666   -0.00622     0.0732      0.81869 Curated_gene_sets:lee_liver_cancer_survival_dn
Curated_gene_sets:lee_...     168     -0.124    -0.0116     0.0707      0.96053 Curated_gene_sets:lee_liver_cancer_survival_up
Curated_gene_sets:moot...     429    -0.0375   -0.00554     0.0457      0.79434 Curated_gene_sets:mootha_mitochondria
Curated_gene_sets:moot...       7     -0.407   -0.00776      0.358      0.87192 Curated_gene_sets:mootha_ros
Curated_gene_sets:davi...      13     -0.071   -0.00185      0.249      0.61208 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_up
Curated_gene_sets:davi...      26      0.305     0.0112      0.181     0.046142 Curated_gene_sets:davies_multiple_myeloma_vs_mgus_dn
Curated_gene_sets:boyl...      36      0.308     0.0133      0.159     0.026553 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_up
Curated_gene_sets:boyl...      29      0.319     0.0124      0.185     0.041921 Curated_gene_sets:boylan_multiple_myeloma_c_cluster_dn
Curated_gene_sets:boyl...      27      0.564     0.0211      0.191    0.0015411 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_up
Curated_gene_sets:boyl...      38       -0.2   -0.00889      0.152      0.90622 Curated_gene_sets:boylan_multiple_myeloma_d_cluster_dn
Curated_gene_sets:boyl...      87     0.0415    0.00279      0.106      0.34803 Curated_gene_sets:boylan_multiple_myeloma_d_up
Curated_gene_sets:boyl...      69     -0.191    -0.0114      0.125      0.93614 Curated_gene_sets:boylan_multiple_myeloma_d_dn
Curated_gene_sets:boyl...     133     -0.087   -0.00721     0.0852      0.84631 Curated_gene_sets:boylan_multiple_myeloma_c_d_up
Curated_gene_sets:boyl...     235   -0.00473  -0.000519      0.064      0.52945 Curated_gene_sets:boylan_multiple_myeloma_c_d_dn
Curated_gene_sets:boyl...      45      0.295     0.0143      0.143     0.019388 Curated_gene_sets:boylan_multiple_myeloma_c_up
Curated_gene_sets:boyl...      55      0.342     0.0183      0.137    0.0062937 Curated_gene_sets:boylan_multiple_myeloma_c_dn
Curated_gene_sets:wu_s...      51      0.379     0.0195      0.133    0.0021756 Curated_gene_sets:wu_silenced_by_methylation_in_bladder_cancer
Curated_gene_sets:ferr...      21      0.296    0.00976      0.241      0.11001 Curated_gene_sets:ferrari_response_to_fenretinide_up
Curated_gene_sets:ferr...       5     -0.081   -0.00131       0.46      0.56994 Curated_gene_sets:ferrari_response_to_fenretinide_dn
Curated_gene_sets:hell...      77      0.239     0.0151      0.115     0.018989 Curated_gene_sets:hellebrekers_silenced_during_tumor_angiogenesis
Curated_gene_sets:reic...       8      0.782      0.016      0.367     0.016596 Curated_gene_sets:reichert_g1s_regulators_as_pi3k_targets
Curated_gene_sets:gu_p...      69      0.039    0.00233      0.123      0.37511 Curated_gene_sets:gu_pdef_targets_up
Curated_gene_sets:gu_p...      38      0.141    0.00626      0.171      0.20496 Curated_gene_sets:gu_pdef_targets_dn
Curated_gene_sets:took...      78    -0.0249   -0.00159      0.114      0.58647 Curated_gene_sets:tooker_gemcitabine_resistance_up
Curated_gene_sets:took...     119     0.0559    0.00438     0.0889      0.26475 Curated_gene_sets:tooker_gemcitabine_resistance_dn
Curated_gene_sets:bohn...      46      0.333     0.0163       0.13    0.0052577 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_up
Curated_gene_sets:bohn...      37     -0.247    -0.0108      0.161      0.93787 Curated_gene_sets:bohn_primary_immunodeficiency_syndrom_dn
Curated_gene_sets:flot...      53      0.121    0.00633      0.132      0.17993 Curated_gene_sets:flotho_pediatric_all_therapy_response_up
Curated_gene_sets:flot...      26    -0.0802   -0.00295      0.185      0.66746 Curated_gene_sets:flotho_pediatric_all_therapy_response_dn
Curated_gene_sets:vili...      49      0.111    0.00561      0.143      0.21901 Curated_gene_sets:vilimas_notch1_targets_up
Curated_gene_sets:vili...      18     -0.344    -0.0105      0.235      0.92857 Curated_gene_sets:vilimas_notch1_targets_dn
Curated_gene_sets:spir...      35     -0.126   -0.00536      0.165      0.77671 Curated_gene_sets:spira_smokers_lung_cancer_up
Curated_gene_sets:spir...      20     -0.266   -0.00856      0.229       0.8767 Curated_gene_sets:spira_smokers_lung_cancer_dn
Curated_gene_sets:ludw...       7    -0.0505  -0.000963      0.393      0.55109 Curated_gene_sets:ludwiczek_treating_iron_overload
Curated_gene_sets:ju_a...       9      0.141    0.00306      0.312      0.32548 Curated_gene_sets:ju_aging_terc_targets_up
Curated_gene_sets:ju_a...       5     -0.459    -0.0074      0.483      0.82904 Curated_gene_sets:ju_aging_terc_targets_dn
Curated_gene_sets:zaid...      13     -0.161   -0.00418      0.262      0.73046 Curated_gene_sets:zaidi_osteoblast_transcription_factors
Curated_gene_sets:wagn...      25    0.00964   0.000347      0.197      0.48044 Curated_gene_sets:wagner_apo2_sensitivity
Curated_gene_sets:palo...       7      0.236    0.00451      0.289      0.20676 Curated_gene_sets:palomero_gsi_sensitivity_up
Curated_gene_sets:palo...       4      -0.58   -0.00837      0.638      0.81855 Curated_gene_sets:palomero_gsi_sensitivity_dn
Curated_gene_sets:souc...       8     0.0655    0.00134      0.392      0.43361 Curated_gene_sets:soucek_myc_targets
Curated_gene_sets:seki...      75      0.168     0.0105      0.121     0.082209 Curated_gene_sets:seki_inflammatory_response_lps_up
Curated_gene_sets:seki...      23     0.0415    0.00143      0.213      0.42266 Curated_gene_sets:seki_inflammatory_response_lps_dn
Curated_gene_sets:ray_...      12       0.33    0.00824      0.278      0.11712 Curated_gene_sets:ray_alzheimers_disease
Curated_gene_sets:huns...      28      0.281     0.0107      0.191     0.071393 Curated_gene_sets:hunsberger_exercise_regulated_genes
Curated_gene_sets:pion...      36      0.136    0.00587      0.155       0.1899 Curated_gene_sets:piontek_pkd1_targets_up
Curated_gene_sets:pion...      15    0.00942   0.000263      0.218      0.48279 Curated_gene_sets:piontek_pkd1_targets_dn
Curated_gene_sets:chau...      49    -0.0101  -0.000508      0.141       0.5285 Curated_gene_sets:chauhan_response_to_methoxyestradiol_up
Curated_gene_sets:chau...      91     0.0195    0.00134     0.0947      0.41859 Curated_gene_sets:chauhan_response_to_methoxyestradiol_dn
Curated_gene_sets:fras...      22      0.325      0.011      0.243     0.090481 Curated_gene_sets:frasor_response_to_serm_or_fulvestrant_up
Curated_gene_sets:fras...      51      0.333     0.0171      0.127    0.0043299 Curated_gene_sets:frasor_response_to_serm_or_fulvestrant_dn
Curated_gene_sets:gold...     325    -0.0917    -0.0118     0.0548      0.95296 Curated_gene_sets:goldrath_antigen_response
Curated_gene_sets:ichi...      93     0.0343    0.00238      0.099      0.36448 Curated_gene_sets:ichiba_graft_versus_host_disease_d7_up
Curated_gene_sets:ichi...      40      -0.14   -0.00638      0.154      0.81818 Curated_gene_sets:ichiba_graft_versus_host_disease_d7_dn
Curated_gene_sets:ichi...     116    -0.0239   -0.00185     0.0901      0.60445 Curated_gene_sets:ichiba_graft_versus_host_disease_35d_up
Curated_gene_sets:ichi...      48    -0.0894   -0.00446      0.144      0.73315 Curated_gene_sets:ichiba_graft_versus_host_disease_35d_dn
Curated_gene_sets:lind...      66   -0.00891  -0.000521       0.12      0.52962 Curated_gene_sets:lindstedt_dendritic_cell_maturation_a
Curated_gene_sets:lind...      49      0.236     0.0119      0.153     0.061207 Curated_gene_sets:lindstedt_dendritic_cell_maturation_b
Curated_gene_sets:lind...      67     0.0537    0.00316       0.12      0.32668 Curated_gene_sets:lindstedt_dendritic_cell_maturation_c
Curated_gene_sets:lind...      62     0.0902    0.00511       0.13      0.24458 Curated_gene_sets:lindstedt_dendritic_cell_maturation_d
Curated_gene_sets:mars...       7      0.231    0.00441      0.379      0.27098 Curated_gene_sets:marshall_viral_infection_response_up
Curated_gene_sets:mars...      29      0.197    0.00766      0.182      0.13978 Curated_gene_sets:marshall_viral_infection_response_dn
Curated_gene_sets:mart...      10     -0.386    -0.0088      0.283       0.9138 Curated_gene_sets:martinelli_immature_neutrophil_up
Curated_gene_sets:mart...      13      0.189    0.00491      0.288      0.25605 Curated_gene_sets:martinelli_immature_neutrophil_dn
Curated_gene_sets:nick...       5    -0.0243  -0.000393      0.393      0.52467 Curated_gene_sets:nick_response_to_proc_treatment_up
Curated_gene_sets:nick...      24      0.296     0.0105      0.219      0.08836 Curated_gene_sets:nick_response_to_proc_treatment_dn
Curated_gene_sets:nutt...      40       0.18    0.00821      0.146      0.10856 Curated_gene_sets:nutt_gbm_vs_ao_glioma_up
Curated_gene_sets:nutt...      45    -0.0989   -0.00478      0.135      0.76881 Curated_gene_sets:nutt_gbm_vs_ao_glioma_dn
Curated_gene_sets:park...      13     -0.075   -0.00195       0.27      0.60958 Curated_gene_sets:park_apl_pathogenesis_up
Curated_gene_sets:park...      47     -0.175   -0.00866      0.139      0.89599 Curated_gene_sets:park_apl_pathogenesis_dn
Curated_gene_sets:park...      12    -0.0143  -0.000357      0.294      0.51941 Curated_gene_sets:park_tretinoin_response
Curated_gene_sets:park...      29     0.0114   0.000442      0.174      0.47392 Curated_gene_sets:park_tretinoin_response_and_pml_rara_fusion
Curated_gene_sets:park...      21     -0.374    -0.0123      0.207      0.96449 Curated_gene_sets:park_tretinoin_response_and_rara_plzf_fusion
Curated_gene_sets:zhan...      23     -0.247   -0.00852      0.211      0.87862 Curated_gene_sets:zhang_interferon_response
Curated_gene_sets:wu_a...      11     -0.409   -0.00979      0.313      0.90462 Curated_gene_sets:wu_alzheimer_disease_up
Curated_gene_sets:wu_a...      18     -0.191   -0.00583      0.196      0.83409 Curated_gene_sets:wu_alzheimer_disease_dn
Curated_gene_sets:mizu...      12      0.703     0.0175      0.297    0.0090566 Curated_gene_sets:mizukami_hypoxia_up
Curated_gene_sets:mizu...       6      0.238    0.00421      0.398      0.27456 Curated_gene_sets:mizukami_hypoxia_dn
Curated_gene_sets:yosh...    1244     0.0134     0.0033     0.0286      0.31961 Curated_gene_sets:yoshimura_mapk8_targets_up
Curated_gene_sets:yosh...     354     0.0243    0.00327     0.0518      0.31942 Curated_gene_sets:yoshimura_mapk8_targets_dn
Curated_gene_sets:chan...      12      0.185    0.00463      0.274      0.24924 Curated_gene_sets:chan_interferon_producing_dendritic_cell
Curated_gene_sets:wund...      45      0.157    0.00759      0.141      0.13277 Curated_gene_sets:wunder_inflammatory_response_and_cholesterol_up
Curated_gene_sets:wund...       9     0.0567    0.00123      0.276      0.41868 Curated_gene_sets:wunder_inflammatory_response_and_cholesterol_dn
Curated_gene_sets:ray_...      15     -0.125    -0.0035      0.237       0.7011 Curated_gene_sets:ray_targets_of_p210_bcr_abl_fusion_up
Curated_gene_sets:ray_...      15      0.226     0.0063       0.25      0.18313 Curated_gene_sets:ray_targets_of_p210_bcr_abl_fusion_dn
Curated_gene_sets:ruiz...     148     0.0779    0.00681     0.0852      0.18033 Curated_gene_sets:ruiz_tnc_targets_up
Curated_gene_sets:ruiz...     138    -0.0255   -0.00216     0.0805      0.62445 Curated_gene_sets:ruiz_tnc_targets_dn
Curated_gene_sets:rute...     317    -0.0667   -0.00849     0.0557       0.8846 Curated_gene_sets:rutella_response_to_csf2rb_and_il4_up
Curated_gene_sets:rute...     301     0.0285    0.00354     0.0555       0.3039 Curated_gene_sets:rutella_response_to_csf2rb_and_il4_dn
Curated_gene_sets:rute...     396    -0.0583   -0.00827       0.05      0.87824 Curated_gene_sets:rutella_response_to_hgf_up
Curated_gene_sets:rute...     222     0.0466    0.00497     0.0649       0.2364 Curated_gene_sets:rutella_response_to_hgf_dn
Curated_gene_sets:rute...     390    -0.0219   -0.00309       0.05      0.66958 Curated_gene_sets:rutella_response_to_hgf_vs_csf2rb_and_il4_up
Curated_gene_sets:rute...     228    -0.0147    -0.0016     0.0648      0.58992 Curated_gene_sets:rutella_response_to_hgf_vs_csf2rb_and_il4_dn
Curated_gene_sets:schr...      31    -0.0164  -0.000659      0.166       0.5394 Curated_gene_sets:schraets_mll_targets_up
Curated_gene_sets:schr...      33      0.222    0.00919       0.18       0.1094 Curated_gene_sets:schraets_mll_targets_dn
Curated_gene_sets:chan...     206     0.0258    0.00265     0.0645      0.34491 Curated_gene_sets:chang_core_serum_response_up
Curated_gene_sets:chan...     202     0.0573    0.00584     0.0694       0.2043 Curated_gene_sets:chang_core_serum_response_dn
Curated_gene_sets:chan...     140   8.41e-05   7.15e-06     0.0787      0.49957 Curated_gene_sets:chang_cycling_genes
Curated_gene_sets:muel...      13     -0.329   -0.00854      0.246      0.90948 Curated_gene_sets:mueller_common_targets_of_aml_fusions_up
Curated_gene_sets:muel...      27     0.0639    0.00239      0.182       0.3629 Curated_gene_sets:mueller_common_targets_of_aml_fusions_dn
Curated_gene_sets:ross...      76     0.0494     0.0031      0.118      0.33805 Curated_gene_sets:ross_leukemia_with_mll_fusions
Curated_gene_sets:vana...      36     0.0205   0.000887      0.166      0.45088 Curated_gene_sets:vanasse_bcl2_targets_up
Curated_gene_sets:vana...      71     -0.027   -0.00164      0.121      0.58806 Curated_gene_sets:vanasse_bcl2_targets_dn
Curated_gene_sets:vant...     162    -0.0066  -0.000604     0.0726      0.53624 Curated_gene_sets:vantveer_breast_cancer_esr1_up
Curated_gene_sets:vant...     232    0.00519   0.000567     0.0637      0.46748 Curated_gene_sets:vantveer_breast_cancer_esr1_dn
Curated_gene_sets:vant...      34   -0.00774  -0.000325      0.148      0.52084 Curated_gene_sets:vantveer_breast_cancer_brca1_up
Curated_gene_sets:vant...      42    -0.0609   -0.00284      0.148      0.65981 Curated_gene_sets:vantveer_breast_cancer_brca1_dn
Curated_gene_sets:wall...      24     -0.112   -0.00394      0.173      0.73979 Curated_gene_sets:wallace_jak2_targets_up
Curated_gene_sets:agui...     292    -0.0943    -0.0115     0.0587      0.94601 Curated_gene_sets:aguirre_pancreatic_cancer_copy_number_up
Curated_gene_sets:agui...     235    -0.0672   -0.00738     0.0665      0.84378 Curated_gene_sets:aguirre_pancreatic_cancer_copy_number_dn
Curated_gene_sets:swee...     455    0.00425   0.000645     0.0457      0.46297 Curated_gene_sets:sweet_lung_cancer_kras_up
Curated_gene_sets:swee...     416     0.0445    0.00647     0.0488      0.18092 Curated_gene_sets:sweet_lung_cancer_kras_dn
Curated_gene_sets:swee...      87     -0.117   -0.00786     0.0997      0.87997 Curated_gene_sets:sweet_kras_oncogenic_signature
Curated_gene_sets:hina...      90     0.0761     0.0052      0.105      0.23459 Curated_gene_sets:hinata_nfkb_targets_keratinocyte_up
Curated_gene_sets:hina...      22     -0.107    -0.0036      0.208      0.69572 Curated_gene_sets:hinata_nfkb_targets_keratinocyte_dn
Curated_gene_sets:hina...      81     0.0645    0.00417      0.116      0.28952 Curated_gene_sets:hinata_nfkb_targets_fibroblast_up
Curated_gene_sets:hoff...      35     0.0776    0.00331      0.159      0.31298 Curated_gene_sets:hoffmann_pre_bi_to_large_pre_bii_lymphocyte_up
Curated_gene_sets:hoff...      72     -0.209    -0.0127      0.114      0.96599 Curated_gene_sets:hoffmann_pre_bi_to_large_pre_bii_lymphocyte_dn
Curated_gene_sets:hoff...     159    -0.0633   -0.00573     0.0752      0.79993 Curated_gene_sets:hoffmann_large_to_small_pre_bii_lymphocyte_up
Curated_gene_sets:hoff...      70      0.115    0.00695      0.112      0.15127 Curated_gene_sets:hoffmann_large_to_small_pre_bii_lymphocyte_dn
Curated_gene_sets:hoff...      63    -0.0167  -0.000955      0.123      0.55381 Curated_gene_sets:hoffmann_small_pre_bii_to_immature_b_lymphocyte_up
Curated_gene_sets:hoff...      48      0.196    0.00976      0.137     0.076236 Curated_gene_sets:hoffmann_small_pre_bii_to_immature_b_lymphocyte_dn
Curated_gene_sets:hoff...      39     -0.162    -0.0073      0.152      0.85663 Curated_gene_sets:hoffmann_immature_to_mature_b_lymphocyte_up
Curated_gene_sets:hoff...      47    -0.0629   -0.00311      0.144      0.66863 Curated_gene_sets:hoffmann_immature_to_mature_b_lymphocyte_dn
Curated_gene_sets:hofm...      21     0.0841    0.00278      0.214      0.34721 Curated_gene_sets:hofmann_myelodysplastic_syndrom_low_risk_up
Curated_gene_sets:hofm...      25      0.128    0.00462      0.185       0.2444 Curated_gene_sets:hofmann_myelodysplastic_syndrom_low_risk_dn
Curated_gene_sets:hofm...       8      0.237    0.00483      0.313      0.22474 Curated_gene_sets:hofmann_myelodysplastic_syndrom_high_risk_up
Curated_gene_sets:hofm...      20      0.174     0.0056      0.237      0.23226 Curated_gene_sets:hofmann_myelodysplastic_syndrom_high_risk_dn
Curated_gene_sets:hofm...      20      0.348     0.0112      0.216      0.05349 Curated_gene_sets:hofmann_myelodysplastic_syndrom_risk_up
Curated_gene_sets:hofm...      21     0.0568    0.00188      0.238      0.40571 Curated_gene_sets:hofmann_myelodysplastic_syndrom_risk_dn
Curated_gene_sets:lee_...      97      0.012    0.00085     0.0975      0.45103 Curated_gene_sets:lee_early_t_lymphocyte_up
Curated_gene_sets:lee_...      48      0.208     0.0104      0.146      0.07686 Curated_gene_sets:lee_early_t_lymphocyte_dn
Curated_gene_sets:lee_...      20      0.292    0.00941      0.227     0.098855 Curated_gene_sets:lee_intrathymic_t_progenitor
Curated_gene_sets:lee_...      23    -0.0932   -0.00322      0.188      0.68972 Curated_gene_sets:lee_double_polar_thymocyte
Curated_gene_sets:lee_...      13     0.0938    0.00244      0.308       0.3802 Curated_gene_sets:lee_sp4_thymocyte
Curated_gene_sets:lee_...     207     0.0373    0.00385     0.0684      0.29279 Curated_gene_sets:lee_recent_thymic_emigrant
Curated_gene_sets:lee_...      17     -0.117   -0.00349      0.252      0.67936 Curated_gene_sets:lee_naive_t_lymphocyte
Curated_gene_sets:lee_...     179     0.0437     0.0042     0.0737      0.27656 Curated_gene_sets:lee_differentiating_t_lymphocyte
Curated_gene_sets:li_w...      25     0.0897    0.00323      0.185      0.31368 Curated_gene_sets:li_wilms_tumor
Curated_gene_sets:fina...      22      0.041    0.00139      0.206      0.42101 Curated_gene_sets:finak_breast_cancer_sdpp_signature
Curated_gene_sets:shed...     444     0.0825     0.0124     0.0457     0.035619 Curated_gene_sets:shedden_lung_cancer_poor_survival_a6
Curated_gene_sets:shed...     191      0.134     0.0133     0.0723     0.032005 Curated_gene_sets:shedden_lung_cancer_good_survival_a4
Curated_gene_sets:brun...       5      0.755     0.0122       0.46     0.050487 Curated_gene_sets:bruneau_septation_atrial
Curated_gene_sets:shed...      67     0.0281    0.00166      0.109      0.39789 Curated_gene_sets:shedden_lung_cancer_good_survival_a5
Curated_gene_sets:brun...      10       0.79      0.018       0.32    0.0068125 Curated_gene_sets:bruneau_septation_ventricular
Curated_gene_sets:brun...       8      0.587      0.012      0.361     0.052245 Curated_gene_sets:bruneau_heart_great_vessels_and_valvulogenesis
Curated_gene_sets:zhan...     215     0.0862    0.00907     0.0654     0.093538 Curated_gene_sets:zhang_tlx_targets_36hr_up
Curated_gene_sets:zhan...     174     0.0601    0.00569     0.0706      0.19751 Curated_gene_sets:zhang_tlx_targets_36hr_dn
Curated_gene_sets:zhan...     285     0.0373     0.0045     0.0568        0.256 Curated_gene_sets:zhang_tlx_targets_60hr_up
Curated_gene_sets:zhan...     263     0.0742    0.00862     0.0564     0.093937 Curated_gene_sets:zhang_tlx_targets_60hr_dn
Curated_gene_sets:zhan...      85        0.1    0.00665     0.0982      0.15361 Curated_gene_sets:zhang_tlx_targets_dn
Curated_gene_sets:zhan...     105     0.0319    0.00235     0.0959      0.36966 Curated_gene_sets:zhang_tlx_targets_up
Curated_gene_sets:mell...      18      0.303    0.00926      0.263      0.12514 Curated_gene_sets:mellman_tut1_targets_up
Curated_gene_sets:mell...      47     0.0369    0.00182      0.135        0.392 Curated_gene_sets:mellman_tut1_targets_dn
Curated_gene_sets:han_...     374      0.166     0.0229     0.0508   0.00053952 Curated_gene_sets:han_satb1_targets_up
